#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.23996	-0.00037019	0.14121	-6.9256E-05	0.085356	-1.8606E-05	1.054	-0.00046074	0.94277	-0.001502	0.77576	-0.0011597	0.65528	-0.0021915	0.50098	-0.00064577	1.0639	-0.00051952	0.948	-0.0015175	0.77559	-0.0011698	0.65088	-0.0024959	0.49293	-0.00068763	0.78295	-0.012291	1.0583	-0.00046373	0.87512	-0.0015285	0.67701	-0.0010335	0.52658	-0.00071981	0.63007	-5.2014E-06	0.88022	-0.0019787	0.68077	-0.0010978	0.53817	-0.00056097	0.44044	-0.00023839	0.35399	-7.4479E-05	1.0689	-0.00041107	0.90126	-0.0017551	0.68384	-0.00082455	0.54088	-0.00058392	0.42296	-0.0005838	1.0816	-0.0016801	1.0249	-0.00013421	0.84979	-0.0025844	0.69565	-0.0016222	0.51569	-0.00058271	0.40932	-0.0005946	1.0791	-0.0001829	0.89365	-9.7001E-05	0.98353	-0.00010408	0.76985	-9.7161E-05	0.86306	-2.4641E-06	0.85956	-3.6156E-05	0.42704	-0.00019036	0.33204	-0.00013868	0.23431	-0.00013121	0.14319	-8.7903E-05	0.082651	-2.3583E-05	0.43044	0.00040417	0.33775	-0.00013551	0.23387	-0.00014984	0.14191	-8.3359E-05	0.087501	-8.1672E-05	1.0684	-0.00038395	0.8985	-0.0017472	0.67421	-0.0011149	0.53953	-0.0008495	0.62772	-6.7974E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0526	-0.00046242	0.94084	-0.0015123	0.77519	-0.0011674	0.65379	-0.0022042	0.50077	-0.00064588	1.0626	-0.00052331	0.94601	-0.0015303	0.77501	-0.0011776	0.64925	-0.0025119	0.49271	-0.00068745	NAN	NAN	1.057	-0.00046462	0.87338	-0.0015176	0.67614	-0.0010303	0.52628	-0.00071792	0.63007	-5.3091E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0681	-0.00041131	0.899	-0.0017357	0.68315	-0.00082088	0.54058	-0.00058378	NAN	NAN	1.0829	-0.0021699	1.0241	-0.00013483	0.84747	-0.0025687	0.69451	-0.001619	0.51547	-0.00058097	NAN	NAN	1.0789	-0.00018104	0.89356	-9.6956E-05	0.98329	-0.00010373	0.7698	-9.6801E-05	0.86313	-2.5114E-06	0.85952	-3.6645E-05	0.42682	-0.00019	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0681	-0.00041398	0.89642	-0.001739	0.67328	-0.0011111	0.53914	-0.00084753	0.62767	-6.8726E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0523	-0.00046143	0.9407	-0.0015121	0.77507	-0.001166	0.65397	-0.0022085	0.5007	-0.00064603	1.0623	-0.00052358	0.94586	-0.0015303	0.77489	-0.0011762	0.64943	-0.0025172	0.49263	-0.00068709	NAN	NAN	1.0566	-0.00046382	0.87328	-0.0015169	0.67629	-0.0010315	0.5262	-0.00071882	0.63007	-5.328E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0678	-0.00041156	0.89887	-0.0017341	0.68329	-0.00082146	0.54055	-0.00058396	NAN	NAN	1.083	-0.0022318	1.024	-0.00013498	0.84724	-0.0025697	0.69459	-0.0016177	0.5154	-0.00058162	NAN	NAN	1.0788	-0.00018162	0.89356	-9.678E-05	0.98327	-0.00010364	0.76979	-9.6952E-05	0.86315	-2.5214E-06	0.85952	-3.6749E-05	0.42684	-0.00019026	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0679	-0.0004179	0.8963	-0.0017382	0.67343	-0.0011126	0.53907	-0.00084845	0.62767	-6.8903E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0511	-0.00045962	0.94004	-0.001512	0.77471	-0.0011674	0.65364	-0.0022192	0.50053	-0.00064669	1.0611	-0.00052521	0.94515	-0.0015308	0.77452	-0.0011775	0.64903	-0.0025308	0.49244	-0.00068717	NAN	NAN	1.0556	-0.00046239	0.8728	-0.0015138	0.67616	-0.0010321	0.52601	-0.00071893	0.63007	-5.3658E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0671	-0.00041275	0.8982	-0.0017261	0.68321	-0.00082116	0.54041	-0.0005841	NAN	NAN	1.0837	-0.0025319	1.0236	-0.00013469	0.84643	-0.0025696	0.69425	-0.0016147	0.51524	-0.00058156	NAN	NAN	1.0786	-0.00018204	0.89355	-9.6203E-05	0.98316	-0.00010336	0.76976	-9.7033E-05	0.86317	-2.5422E-06	0.85949	-3.6947E-05	0.42675	-0.00019018	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0674	-0.00043788	0.8957	-0.0017344	0.67328	-0.0011133	0.53886	-0.0008486	0.62765	-6.9215E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0502	-0.0004592	0.93956	-0.0015091	0.77451	-0.0011687	0.65334	-0.0022256	0.50042	-0.00064721	1.0602	-0.00052777	0.94463	-0.0015281	0.77432	-0.0011789	0.6487	-0.0025391	0.49231	-0.00068738	NAN	NAN	1.0547	-0.00046228	0.87255	-0.0015128	0.67602	-0.001032	0.52589	-0.00071886	0.63007	-5.3999E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0665	-0.00041456	0.89779	-0.0017205	0.68311	-0.00082054	0.54031	-0.00058422	NAN	NAN	1.0844	-0.0028088	1.0231	-0.00013431	0.846	-0.0025704	0.694	-0.0016132	0.51515	-0.00058141	NAN	NAN	1.0784	-0.00018201	0.89355	-9.5733E-05	0.98306	-0.00010294	0.76974	-9.7043E-05	0.8632	-2.5623E-06	0.85948	-3.7162E-05	0.42666	-0.00019006	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0671	-0.00045698	0.89537	-0.0017325	0.67312	-0.0011132	0.53871	-0.00084858	0.62764	-6.9467E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0484	-0.00045661	0.93878	-0.0015064	0.77415	-0.0011719	0.65276	-0.0022375	0.50019	-0.00064842	1.0585	-0.00053087	0.94378	-0.0015256	0.77396	-0.0011821	0.64804	-0.002555	0.49205	-0.00068787	NAN	NAN	1.053	-0.00046058	0.87206	-0.00151	0.67573	-0.0010315	0.52567	-0.00071893	0.63007	-5.4392E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0653	-0.00041757	0.89707	-0.0017116	0.6829	-0.00081956	0.54014	-0.00058444	NAN	NAN	1.0858	-0.0033711	1.0224	-0.00013302	0.8452	-0.002571	0.6935	-0.0016101	0.51496	-0.00058141	NAN	NAN	1.0782	-0.00018178	0.89354	-9.5121E-05	0.98293	-0.00010239	0.76971	-9.7083E-05	0.86323	-2.5913E-06	0.85945	-3.7503E-05	0.42651	-0.00018978	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0664	-0.00049651	0.89475	-0.0017289	0.67281	-0.0011129	0.53845	-0.00084862	0.62761	-6.9697E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0458	-0.00044902	0.93764	-0.0015047	0.77366	-0.0011759	0.65202	-0.002253	0.4999	-0.00065026	1.0559	-0.00053174	0.94257	-0.0015247	0.77347	-0.0011861	0.64719	-0.0025758	0.49172	-0.00068886	NAN	NAN	1.0505	-0.00045469	0.87127	-0.001504	0.67538	-0.0010312	0.52539	-0.00071899	0.63006	-5.5084E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0636	-0.00042075	0.89596	-0.0016979	0.68264	-0.00081844	0.53992	-0.00058465	NAN	NAN	1.0883	-0.0043509	1.0213	-0.00013066	0.84394	-0.002568	0.69287	-0.0016059	0.51474	-0.00058141	NAN	NAN	1.0779	-0.00018141	0.8935	-9.448E-05	0.98277	-0.00010182	0.76966	-9.7086E-05	0.86329	-2.635E-06	0.8594	-3.8009E-05	0.42629	-0.00018926	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0655	-0.00056739	0.89376	-0.0017221	0.67242	-0.0011127	0.53812	-0.00084859	0.62757	-7.0108E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0448	-0.00044469	0.93731	-0.0015042	0.77352	-0.001177	0.65182	-0.0022578	0.49982	-0.00065099	1.0549	-0.0005308	0.94221	-0.0015243	0.77333	-0.0011872	0.64696	-0.0025824	0.49162	-0.0006894	NAN	NAN	1.0496	-0.0004512	0.87103	-0.0015021	0.67529	-0.0010312	0.52532	-0.00071895	0.63006	-5.5337E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0629	-0.00042168	0.89564	-0.0016939	0.68258	-0.0008181	0.53986	-0.0005847	NAN	NAN	1.0893	-0.0047448	1.0209	-0.00012953	0.84357	-0.0025667	0.69269	-0.0016048	0.51468	-0.00058134	NAN	NAN	1.0778	-0.00018138	0.89349	-9.4292E-05	0.98273	-0.00010163	0.76965	-9.7075E-05	0.86331	-2.6493E-06	0.85939	-3.8174E-05	0.42621	-0.00018902	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0651	-0.00059657	0.89346	-0.0017199	0.67231	-0.0011127	0.53803	-0.00084854	0.62756	-7.0263E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0419	-0.00043001	0.93646	-0.0015019	0.77323	-0.0011787	0.65138	-0.0022696	0.49961	-0.00065295	1.0518	-0.00052555	0.94129	-0.0015223	0.77303	-0.0011889	0.64644	-0.002599	0.49137	-0.00069098	NAN	NAN	1.0467	-0.00043907	0.87045	-0.0014976	0.6751	-0.0010313	0.52516	-0.00071883	0.63006	-5.6137E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0608	-0.0004238	0.89483	-0.0016837	0.68247	-0.0008173	0.53973	-0.00058482	NAN	NAN	1.0922	-0.0059797	1.0199	-0.00012613	0.84269	-0.0025623	0.69236	-0.0016027	0.51455	-0.00058114	NAN	NAN	1.0774	-0.00018137	0.89347	-9.3715E-05	0.9826	-0.00010107	0.76962	-9.7038E-05	0.86337	-2.6919E-06	0.85934	-3.8695E-05	0.42597	-0.00018835	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0641	-0.00069152	0.89274	-0.0017147	0.67211	-0.001113	0.53783	-0.00084846	0.62752	-7.0777E-06
B8	11510	4.07	0.23932	-0.00036944	0.14084	-6.9095E-05	0.08531	-1.8649E-05	1.0414	-0.00043169	0.9359	-0.0014999	0.77308	-0.0011792	0.65115	-0.0022742	0.49992	-0.00065268	1.0513	-0.00052966	0.94069	-0.0015205	0.77289	-0.0011894	0.64618	-0.0026037	0.49167	-0.00069368	0.74166	-0.011271	1.0462	-0.00044141	0.87008	-0.0014952	0.67501	-0.0010313	0.52546	-0.00071188	0.63002	-5.6476E-06	0.87313	-0.0018972	0.67861	-0.0010869	0.53699	-0.0005583	0.43891	-0.0002415	0.35386	-6.4771E-05	1.0606	-0.00042763	0.8943	-0.0016774	0.68242	-0.00081677	0.5397	-0.00058386	0.41986	-0.00060363	1.0939	-0.0065008	1.0194	-0.00012526	0.84215	-0.0025586	0.6922	-0.001602	0.51487	-0.0005757	0.40632	-0.00060471	1.0775	-0.00017977	0.89349	-9.3322E-05	0.9825	-0.00010068	0.76961	-9.7022E-05	0.86332	-2.9092E-06	0.85925	-3.8939E-05	0.4256	-0.0001862	0.33168	-0.00013845	0.23417	-0.00013141	0.14275	-8.7867E-05	0.082588	-2.3612E-05	0.42888	0.00066415	0.33741	-0.00013693	0.23367	-0.00014972	0.14147	-8.2983E-05	0.087199	-6.9961E-05	1.0642	-0.00073668	0.89227	-0.0017118	0.672	-0.0011132	0.53799	-0.00084224	0.62747	-7.032E-06
