#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.2497	-0.00040222	0.14684	-7.482E-05	0.088795	-2.01E-05	1.0485	-0.00036318	0.94623	-0.0013358	0.78705	-0.0010794	0.67004	-0.0021198	0.51748	-0.00065206	1.0572	-0.00040471	0.95113	-0.0013463	0.78688	-0.0010889	0.66571	-0.0024225	0.5094	-0.00069534	0.79367	-0.011828	1.0523	-0.00036323	0.88224	-0.0013943	0.69139	-0.00098505	0.54308	-0.00071956	0.64563	-5.0081E-06	0.88704	-0.0018048	0.69504	-0.0010452	0.55467	-0.00055785	0.4565	-0.00024528	0.36814	-7.7682E-05	1.0617	-0.00031703	0.90703	-0.001589	0.69807	-0.00078375	0.55737	-0.00058072	0.43869	-0.0006096	1.0723	-0.0013306	1.0227	-0.00011065	0.85797	-0.0023765	0.70947	-0.0015415	0.53223	-0.00058427	0.4248	-0.00062356	1.0707	-0.00013832	0.90007	-8.7713E-05	0.9847	-8.9929E-05	0.78147	-9.0317E-05	0.87093	-2.2468E-06	0.86758	-3.2999E-05	0.4429	-0.00019675	0.34547	-0.00014847	0.24381	-0.00014272	0.1489	-9.4979E-05	0.085983	-2.5484E-05	0.44617	0.00047311	0.35138	-0.00014511	0.24336	-0.00016291	0.14756	-9.0032E-05	0.091018	-8.6771E-05	1.0613	-0.00029878	0.90442	-0.001583	0.68865	-0.0010638	0.55598	-0.00084585	0.64333	-6.5495E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0473	-0.00036519	0.94442	-0.0013462	0.7865	-0.0010868	0.66859	-0.002133	0.51728	-0.00065221	1.0561	-0.00040841	0.94926	-0.001359	0.78632	-0.0010963	0.66411	-0.0024392	0.50917	-0.0006952	NAN	NAN	1.0511	-0.00036455	0.88058	-0.001385	0.69054	-0.00098218	0.54279	-0.00071769	0.64563	-5.1118E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.061	-0.00031758	0.90489	-0.0015726	0.6974	-0.00078038	0.55707	-0.0005806	NAN	NAN	1.0733	-0.0017266	1.0219	-0.00011127	0.85576	-0.0023635	0.70836	-0.0015388	0.53201	-0.00058255	NAN	NAN	1.0705	-0.00013695	0.89998	-8.7675E-05	0.98448	-8.9646E-05	0.78142	-8.9983E-05	0.871	-2.2899E-06	0.86754	-3.3446E-05	0.44268	-0.00019638	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0609	-0.00032347	0.90245	-0.0015768	0.68773	-0.0010604	0.55559	-0.00084394	0.64328	-6.6221E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.047	-0.00036456	0.94429	-0.0013461	0.78639	-0.0010855	0.66876	-0.0021371	0.5172	-0.00065236	1.0558	-0.00040879	0.94912	-0.0013591	0.78621	-0.0010951	0.66429	-0.0024443	0.50909	-0.00069484	NAN	NAN	1.0508	-0.00036407	0.88049	-0.0013845	0.69069	-0.00098333	0.54271	-0.00071861	0.64563	-5.13E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0607	-0.00031786	0.90477	-0.0015712	0.69754	-0.00078091	0.55704	-0.00058079	NAN	NAN	1.0733	-0.001777	1.0219	-0.00011141	0.85554	-0.0023645	0.70844	-0.0015375	0.53194	-0.0005832	NAN	NAN	1.0704	-0.0001374	0.89998	-8.7516E-05	0.98445	-8.957E-05	0.78141	-9.0124E-05	0.87101	-2.299E-06	0.86754	-3.3541E-05	0.4427	-0.00019665	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0608	-0.00032674	0.90233	-0.0015761	0.68789	-0.0010619	0.55552	-0.00084487	0.64327	-6.6391E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.046	-0.00036363	0.94366	-0.0013464	0.78604	-0.0010869	0.66843	-0.0021477	0.51703	-0.00065305	1.0548	-0.00041064	0.94846	-0.00136	0.78586	-0.0010964	0.6639	-0.0024579	0.5089	-0.00069494	NAN	NAN	1.0499	-0.00036342	0.88003	-0.0013818	0.69056	-0.00098388	0.54252	-0.00071874	0.64563	-5.1664E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0601	-0.0003191	0.90414	-0.0015644	0.69745	-0.00078064	0.5569	-0.00058094	NAN	NAN	1.0738	-0.0020213	1.0215	-0.00011123	0.85477	-0.002365	0.70811	-0.0015348	0.53178	-0.00058316	NAN	NAN	1.0702	-0.00013775	0.89997	-8.6994E-05	0.98436	-8.9335E-05	0.78138	-9.0199E-05	0.87104	-2.318E-06	0.86752	-3.3723E-05	0.44261	-0.00019657	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0603	-0.00034324	0.90176	-0.001573	0.68774	-0.0010626	0.55531	-0.00084505	0.64326	-6.6692E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0451	-0.00036372	0.94321	-0.0013442	0.78584	-0.0010882	0.66814	-0.0021541	0.51692	-0.00065359	1.054	-0.00041312	0.94796	-0.0013579	0.78566	-0.0010977	0.66357	-0.0024663	0.50877	-0.00069517	NAN	NAN	1.0491	-0.00036373	0.87979	-0.001381	0.69042	-0.0009838	0.5424	-0.00071868	0.64564	-5.1992E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0595	-0.00032075	0.90375	-0.0015595	0.69736	-0.00078007	0.55681	-0.00058107	NAN	NAN	1.0743	-0.0022474	1.0211	-0.00011098	0.85436	-0.002366	0.70787	-0.0015335	0.53168	-0.00058301	NAN	NAN	1.0701	-0.00013775	0.89997	-8.6569E-05	0.98427	-8.8985E-05	0.78136	-9.0209E-05	0.87106	-2.3362E-06	0.8675	-3.3918E-05	0.44252	-0.00019645	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0601	-0.00035896	0.90145	-0.0015714	0.68758	-0.0010625	0.55517	-0.00084506	0.64324	-6.6935E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0436	-0.00036244	0.94248	-0.0013422	0.7855	-0.0010913	0.66757	-0.0021661	0.51669	-0.00065484	1.0525	-0.00041644	0.94717	-0.0013563	0.78531	-0.0011008	0.66292	-0.0024823	0.50851	-0.0006957	NAN	NAN	1.0476	-0.00036312	0.87933	-0.0013786	0.69014	-0.00098348	0.54217	-0.00071878	0.64563	-5.2371E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0585	-0.00032356	0.90307	-0.0015517	0.69715	-0.00077918	0.55663	-0.0005813	NAN	NAN	1.0755	-0.0027087	1.0204	-0.00011002	0.85359	-0.0023671	0.70738	-0.0015307	0.5315	-0.00058303	NAN	NAN	1.0699	-0.00013761	0.89996	-8.6015E-05	0.98414	-8.8519E-05	0.78133	-9.0246E-05	0.8711	-2.3627E-06	0.86748	-3.423E-05	0.44236	-0.00019615	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0595	-0.00039153	0.90087	-0.0015685	0.68728	-0.0010623	0.5549	-0.00084514	0.64322	-6.7156E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0413	-0.00035749	0.94141	-0.0013414	0.78503	-0.0010951	0.66685	-0.0021818	0.5164	-0.00065674	1.0502	-0.00041845	0.94604	-0.0013562	0.78484	-0.0011047	0.66209	-0.0025034	0.50817	-0.00069674	NAN	NAN	1.0454	-0.00035952	0.87858	-0.0013735	0.68979	-0.00098325	0.5419	-0.00071888	0.64562	-5.3038E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.057	-0.00032675	0.90202	-0.0015399	0.6969	-0.00077816	0.55642	-0.00058154	NAN	NAN	1.0774	-0.0035201	1.0194	-0.00010821	0.85239	-0.0023651	0.70676	-0.0015269	0.53128	-0.00058306	NAN	NAN	1.0696	-0.00013739	0.89992	-8.5436E-05	0.98399	-8.8045E-05	0.78128	-9.025E-05	0.87115	-2.4025E-06	0.86743	-3.4693E-05	0.44215	-0.00019562	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0587	-0.00045007	0.89993	-0.0015628	0.6869	-0.0010622	0.55457	-0.00084517	0.64318	-6.7554E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0404	-0.00035446	0.9411	-0.0013412	0.78489	-0.0010961	0.66665	-0.0021865	0.51632	-0.0006575	1.0492	-0.00041822	0.9457	-0.0013561	0.7847	-0.0011057	0.66186	-0.00251	0.50807	-0.00069731	NAN	NAN	1.0446	-0.00035716	0.87835	-0.0013718	0.6897	-0.00098322	0.54183	-0.00071884	0.64562	-5.3281E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0564	-0.00032777	0.90171	-0.0015364	0.69684	-0.00077785	0.55636	-0.00058159	NAN	NAN	1.0781	-0.003849	1.0191	-0.00010733	0.85203	-0.0023641	0.70659	-0.0015259	0.53122	-0.00058299	NAN	NAN	1.0695	-0.00013739	0.89991	-8.5267E-05	0.98395	-8.789E-05	0.78127	-9.024E-05	0.87117	-2.4155E-06	0.86742	-3.4843E-05	0.44206	-0.00019537	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0583	-0.00047423	0.89965	-0.001561	0.68679	-0.0010622	0.55448	-0.00084513	0.64317	-6.7703E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0378	-0.00034387	0.9403	-0.0013396	0.78461	-0.0010978	0.66621	-0.0021984	0.51611	-0.00065952	1.0466	-0.00041554	0.94483	-0.0013549	0.78442	-0.0011074	0.66135	-0.0025267	0.50782	-0.00069895	NAN	NAN	1.0421	-0.00034866	0.8778	-0.001368	0.68953	-0.00098339	0.54166	-0.00071874	0.64562	-5.4051E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0545	-0.00033028	0.90095	-0.0015275	0.69673	-0.00077711	0.55623	-0.00058173	NAN	NAN	1.0805	-0.0048894	1.0181	-0.00010466	0.8512	-0.0023606	0.70626	-0.001524	0.53109	-0.0005828	NAN	NAN	1.0692	-0.00013744	0.89989	-8.4746E-05	0.98383	-8.7414E-05	0.78124	-9.0206E-05	0.87122	-2.4543E-06	0.86738	-3.532E-05	0.44182	-0.00019468	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0574	-0.00055301	0.89896	-0.0015566	0.68659	-0.0010626	0.55428	-0.00084508	0.64313	-6.8198E-06
B8	11510	4.07	0.24903	-0.00040138	0.14645	-7.4641E-05	0.088747	-2.0146E-05	1.0373	-0.00034545	0.93977	-0.0013382	0.78447	-0.0010984	0.66599	-0.002203	0.51642	-0.00065926	1.0461	-0.00041908	0.94427	-0.0013537	0.78428	-0.0011079	0.6611	-0.0025315	0.50813	-0.0007017	0.75373	-0.010924	1.0416	-0.00035074	0.87744	-0.0013659	0.68944	-0.00098346	0.54197	-0.00071172	0.64558	-5.4379E-06	0.88031	-0.001734	0.69294	-0.0010353	0.5535	-0.0005553	0.45495	-0.00024851	0.36801	-6.8048E-05	1.0543	-0.00033338	0.90045	-0.0015221	0.69669	-0.00077661	0.5562	-0.00058076	0.43553	-0.00063059	1.0819	-0.0053305	1.0177	-0.00010399	0.85068	-0.0023576	0.70611	-0.0015234	0.53141	-0.0005773	0.42173	-0.00063435	1.0693	-0.0001362	0.89991	-8.439E-05	0.98374	-8.7084E-05	0.78123	-9.0192E-05	0.87118	-2.6524E-06	0.86729	-3.5544E-05	0.44144	-0.00019247	0.3451	-0.00014821	0.24366	-0.00014294	0.14844	-9.4931E-05	0.085918	-2.5515E-05	0.44448	0.00076749	0.35103	-0.00014669	0.24314	-0.0001628	0.1471	-8.9624E-05	0.090705	-7.4401E-05	1.0575	-0.00059009	0.89852	-0.0015542	0.68649	-0.0010628	0.55445	-0.00083882	0.64308	-6.7759E-06
