#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.19412	-0.00023699	0.11472	-4.5931E-05	0.069167	-1.2345E-05	1.0726	-0.00083614	0.92744	-0.002396	0.72296	-0.001596	0.58555	-0.0025457	0.42309	-0.00061493	1.0862	-0.00095346	0.93413	-0.002438	0.72276	-0.0016093	0.58081	-0.0028559	0.41526	-0.00065022	0.73131	-0.014444	1.0783	-0.00084409	0.84264	-0.0022551	0.60912	-0.00128	0.44864	-0.00071918	0.55651	-6.1656E-06	0.84897	-0.0029024	0.61337	-0.0013657	0.46022	-0.00057435	0.36473	-0.00020666	0.28737	-6.0688E-05	1.0929	-0.0007598	0.87504	-0.0026348	0.61666	-0.0010334	0.46299	-0.00059764	0.34881	-0.00046995	1.1177	-0.0040207	1.0331	-0.00023908	0.81208	-0.003705	0.63045	-0.0020344	0.43763	-0.00057385	0.33642	-0.00046752	1.1069	-0.00034653	0.86493	-0.00014837	0.97866	-0.00017438	0.71539	-0.00013456	0.82722	-3.6846E-06	0.82296	-5.3891E-05	0.35227	-0.00016122	0.26885	-9.6979E-05	0.18959	-8.3496E-05	0.11633	-5.8247E-05	0.066966	-1.5621E-05	0.35598	0.00016775	0.27363	-9.4909E-05	0.18925	-9.5632E-05	0.11528	-5.5366E-05	0.070939	-5.8618E-05	1.0926	-0.00075518	0.87168	-0.00263	0.60604	-0.0013739	0.46185	-0.00086472	0.55395	-8.0312E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0707	-0.00083734	0.92499	-0.0024057	0.72229	-0.0016055	0.58392	-0.0025554	0.42289	-0.00061487	1.0843	-0.00095865	0.93159	-0.0024514	0.72208	-0.001619	0.57903	-0.002868	0.41504	-0.00064986	NAN	NAN	1.0766	-0.00084413	0.84048	-0.0022343	0.60815	-0.0012749	0.44834	-0.00071716	0.5565	-6.2932E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0918	-0.00075962	0.87221	-0.0025988	0.61588	-0.001028	0.46268	-0.00059736	NAN	NAN	1.1215	-0.0051488	1.032	-0.00023974	0.80924	-0.0036734	0.62915	-0.002028	0.43741	-0.00057205	NAN	NAN	1.1065	-0.00034284	0.86481	-0.0001483	0.97835	-0.00017375	0.71533	-0.00013406	0.82731	-3.7559E-06	0.82291	-5.4617E-05	0.35207	-0.0001609	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0922	-0.00082556	0.86908	-0.0026105	0.60499	-0.0013679	0.46145	-0.00086248	0.5539	-8.1199E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0702	-0.00083501	0.92481	-0.002405	0.72215	-0.0016034	0.58412	-0.0025608	0.42281	-0.000615	1.0838	-0.00095849	0.9314	-0.0024508	0.72194	-0.0016168	0.57922	-0.0028743	0.41496	-0.00064951	NAN	NAN	1.0761	-0.00084213	0.84036	-0.0022331	0.60832	-0.0012766	0.44826	-0.00071799	0.55651	-6.3156E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0914	-0.0007597	0.87204	-0.002596	0.61604	-0.0010289	0.46266	-0.00059753	NAN	NAN	1.1219	-0.0052865	1.0319	-0.00023997	0.80896	-0.0036737	0.62924	-0.0020265	0.43733	-0.00057264	NAN	NAN	1.1064	-0.00034392	0.86482	-0.00014803	0.97831	-0.0001736	0.71532	-0.00013427	0.82733	-3.7709E-06	0.82291	-5.4771E-05	0.35209	-0.00016113	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.092	-0.00083426	0.86892	-0.0026089	0.60517	-0.00137	0.46138	-0.00086333	0.55389	-8.1407E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0686	-0.00083004	0.92396	-0.0024026	0.72172	-0.0016046	0.58375	-0.0025717	0.42265	-0.00061553	1.0823	-0.00095961	0.9305	-0.0024493	0.72151	-0.0016179	0.5788	-0.0028878	0.41477	-0.00064949	NAN	NAN	1.0746	-0.00083795	0.83977	-0.0022272	0.60817	-0.001277	0.44807	-0.00071799	0.55651	-6.3604E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0904	-0.00076097	0.8712	-0.0025824	0.61594	-0.0010284	0.46251	-0.00059761	NAN	NAN	1.1239	-0.0059501	1.0313	-0.00023924	0.80796	-0.0036702	0.62886	-0.0020222	0.43718	-0.00057251	NAN	NAN	1.1061	-0.00034463	0.8648	-0.00014716	0.97818	-0.00017311	0.71528	-0.00013438	0.82736	-3.8022E-06	0.82288	-5.5065E-05	0.35201	-0.00016106	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0914	-0.0008796	0.86817	-0.0026014	0.605	-0.0013706	0.46116	-0.00086332	0.55388	-8.1775E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0673	-0.00082782	0.92335	-0.0023968	0.72148	-0.001606	0.58343	-0.0025778	0.42254	-0.00061595	1.0811	-0.00096274	0.92983	-0.0024434	0.72127	-0.0016194	0.57843	-0.0028957	0.41465	-0.00064961	NAN	NAN	1.0734	-0.00083642	0.83946	-0.0022251	0.60801	-0.0012767	0.44795	-0.00071786	0.55651	-6.4009E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0895	-0.00076363	0.87069	-0.0025731	0.61583	-0.0010276	0.46242	-0.00059768	NAN	NAN	1.1258	-0.0065508	1.0307	-0.00023837	0.80744	-0.0036695	0.62858	-0.0020198	0.43708	-0.00057232	NAN	NAN	1.106	-0.00034453	0.8648	-0.00014644	0.97805	-0.0001724	0.71526	-0.00013439	0.82739	-3.8324E-06	0.82286	-5.5382E-05	0.35192	-0.00016095	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.091	-0.0009229	0.86776	-0.0025976	0.60482	-0.0013703	0.46102	-0.0008632	0.55386	-8.2072E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.065	-0.00082052	0.92235	-0.0023902	0.72106	-0.0016097	0.5828	-0.0025892	0.42232	-0.00061696	1.0787	-0.00096546	0.92875	-0.0024369	0.72085	-0.0016231	0.57772	-0.0029105	0.4144	-0.00064992	NAN	NAN	1.0712	-0.00083089	0.83886	-0.0022198	0.60769	-0.0012758	0.44773	-0.0007178	0.55651	-6.4474E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.088	-0.00076785	0.86979	-0.0025579	0.61559	-0.0010261	0.46224	-0.00059781	NAN	NAN	1.1295	-0.0077355	1.0297	-0.00023573	0.80645	-0.0036669	0.62801	-0.0020149	0.4369	-0.00057224	NAN	NAN	1.1057	-0.00034402	0.86479	-0.0001455	0.97787	-0.00017146	0.71523	-0.00013444	0.82744	-3.876E-06	0.82283	-5.5888E-05	0.35178	-0.0001607	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0904	-0.0010123	0.86699	-0.0025903	0.60447	-0.0013694	0.46074	-0.00086305	0.55383	-8.2342E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0614	-0.00080306	0.92091	-0.0023843	0.72049	-0.0016142	0.58199	-0.0026041	0.42204	-0.00061852	1.0752	-0.00096252	0.9272	-0.0024316	0.72027	-0.0016276	0.5768	-0.0029301	0.41407	-0.00065065	NAN	NAN	1.0678	-0.00081664	0.83788	-0.002209	0.60729	-0.0012749	0.44745	-0.0007177	0.5565	-6.5295E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0856	-0.00077153	0.8684	-0.0025347	0.6153	-0.0010244	0.46202	-0.00059791	NAN	NAN	1.1354	-0.009697	1.0283	-0.0002311	0.80492	-0.0036576	0.62729	-0.0020085	0.43668	-0.00057215	NAN	NAN	1.1052	-0.00034321	0.86474	-0.00014452	0.97767	-0.0001705	0.71517	-0.00013444	0.8275	-3.9418E-06	0.82277	-5.6636E-05	0.35159	-0.00016026	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0894	-0.0011718	0.86575	-0.0025769	0.60403	-0.0013686	0.46041	-0.00086276	0.55379	-8.2826E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0601	-0.00079386	0.92048	-0.0023824	0.72032	-0.0016154	0.58176	-0.0026087	0.42195	-0.00061915	1.0738	-0.00095897	0.92674	-0.0024299	0.7201	-0.0016288	0.57654	-0.0029363	0.41397	-0.00065109	NAN	NAN	1.0664	-0.00080892	0.83758	-0.0022056	0.60719	-0.0012747	0.44738	-0.00071761	0.5565	-6.5594E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0846	-0.0007723	0.868	-0.0025278	0.61523	-0.0010239	0.46196	-0.00059793	NAN	NAN	1.1376	-0.010451	1.0278	-0.00022895	0.80446	-0.0036543	0.62709	-0.0020067	0.43662	-0.00057206	NAN	NAN	1.105	-0.00034309	0.86473	-0.00014423	0.97761	-0.00017019	0.71515	-0.00013442	0.82753	-3.9632E-06	0.82275	-5.6879E-05	0.35151	-0.00016005	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.089	-0.0012369	0.86538	-0.0025728	0.60392	-0.0013685	0.46032	-0.00086264	0.55378	-8.3009E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0561	-0.00076362	0.9194	-0.0023764	0.71998	-0.0016172	0.58128	-0.0026202	0.42175	-0.00062084	1.0696	-0.00094412	0.92557	-0.0024239	0.71975	-0.0016306	0.57598	-0.0029522	0.41373	-0.00065239	NAN	NAN	1.0626	-0.00078314	0.83687	-0.0021976	0.60698	-0.0012746	0.44721	-0.0007174	0.5565	-6.6542E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0817	-0.00077334	0.86698	-0.0025105	0.6151	-0.0010228	0.46183	-0.00059799	NAN	NAN	1.1436	-0.012706	1.0264	-0.00022254	0.80339	-0.0036446	0.62671	-0.0020034	0.43649	-0.00057181	NAN	NAN	1.1045	-0.00034293	0.8647	-0.00014335	0.97745	-0.00016924	0.71511	-0.00013437	0.8276	-4.0274E-06	0.8227	-5.7651E-05	0.35129	-0.00015948	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0879	-0.0014473	0.86448	-0.0025628	0.60368	-0.0013685	0.46012	-0.00086241	0.55374	-8.3613E-06
B8	11510	4.07	0.19361	-0.0002366	0.11442	-4.5842E-05	0.06913	-1.2373E-05	1.0554	-0.00076572	0.91869	-0.0023717	0.71981	-0.0016176	0.58104	-0.0026247	0.42205	-0.00062051	1.0689	-0.00095063	0.9248	-0.0024193	0.71958	-0.001631	0.5757	-0.0029567	0.41403	-0.00065481	0.68402	-0.012891	1.062	-0.0007866	0.8364	-0.0021931	0.60688	-0.0012746	0.44751	-0.00071079	0.55645	-6.6943E-06	0.84018	-0.0027614	0.61095	-0.0013492	0.45903	-0.00057109	0.36331	-0.0002092	0.28724	-5.0659E-05	1.0815	-0.00078023	0.86633	-0.0025	0.61505	-0.0010221	0.4618	-0.00059703	0.346	-0.00048474	1.1465	-0.013626	1.0258	-0.00022082	0.80273	-0.0036373	0.62653	-0.0020022	0.4368	-0.00056669	0.33373	-0.00047462	1.1047	-0.00033998	0.86473	-0.00014275	0.97732	-0.00016856	0.7151	-0.00013435	0.82754	-4.3522E-06	0.82259	-5.8002E-05	0.35094	-0.00015761	0.26855	-9.6852E-05	0.18948	-8.3629E-05	0.11597	-5.825E-05	0.066916	-1.5641E-05	0.3548	0.0003093	0.27335	-9.5756E-05	0.18908	-9.5491E-05	0.11493	-5.5115E-05	0.070688	-4.9993E-05	1.0883	-0.0015483	0.86389	-0.002557	0.60357	-0.0013686	0.46028	-0.00085639	0.55368	-8.307E-06
